,track,artist,album,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
127,fOoL fOr YoU,Zayn,Mind of Mine (Deluxe Edition),6lvsJDZ7336YmpBzcNGhbe,0.52,0.513,7,-7.208,1,0.0256,0.281,0.0,0.0976,0.17,77.903,audio_features,6lvsJDZ7336YmpBzcNGhbe,spotify:track:6lvsJDZ7336YmpBzcNGhbe,https://api.spotify.com/v1/tracks/6lvsJDZ7336YmpBzcNGhbe,https://api.spotify.com/v1/audio-analysis/6lvsJDZ7336YmpBzcNGhbe,202213,4
128,A Whole New World (End Title) - From Aladdin,Zayn,A Whole New World (End Title) [From Aladdin],1iWHabUgUuuKLBa0TzTHfk,0.302,0.414,2,-8.16,1,0.0319,0.0575,0.0,0.0861,0.105,110.508,audio_features,1iWHabUgUuuKLBa0TzTHfk,spotify:track:1iWHabUgUuuKLBa0TzTHfk,https://api.spotify.com/v1/tracks/1iWHabUgUuuKLBa0TzTHfk,https://api.spotify.com/v1/audio-analysis/1iWHabUgUuuKLBa0TzTHfk,242956,4
129,I Don’t Wanna Live Forever (Fifty Shades Darker),Zayn,reputation Stadium Tour Surprise Song Playlist,55n9yjI6qqXh5F2mYvUc2y,0.731,0.445,0,-8.418,1,0.0533,0.0586,1.96e-05,0.14,0.106,117.97,audio_features,55n9yjI6qqXh5F2mYvUc2y,spotify:track:55n9yjI6qqXh5F2mYvUc2y,https://api.spotify.com/v1/tracks/55n9yjI6qqXh5F2mYvUc2y,https://api.spotify.com/v1/audio-analysis/55n9yjI6qqXh5F2mYvUc2y,247160,4
130,PILLOWTALK,Zayn,Mind of Mine (Deluxe Edition),0PDUDa38GO8lMxLCRc4lL1,0.584,0.7,11,-4.275,1,0.0456,0.117,0.0,0.0939,0.438,124.944,audio_features,0PDUDa38GO8lMxLCRc4lL1,spotify:track:0PDUDa38GO8lMxLCRc4lL1,https://api.spotify.com/v1/tracks/0PDUDa38GO8lMxLCRc4lL1,https://api.spotify.com/v1/audio-analysis/0PDUDa38GO8lMxLCRc4lL1,202747,4
131,Just My Luck,Marc E. Bassy,PMD,2QsBAfiNmngcrZsOTznqBG,0.617,0.64,8,-5.601,1,0.042,0.283,1.02e-06,0.164,0.346,156.98,audio_features,2QsBAfiNmngcrZsOTznqBG,spotify:track:2QsBAfiNmngcrZsOTznqBG,https://api.spotify.com/v1/tracks/2QsBAfiNmngcrZsOTznqBG,https://api.spotify.com/v1/audio-analysis/2QsBAfiNmngcrZsOTznqBG,186497,4
132,Dirty Water,Marc E. Bassy,Groovy People,52rbzvOCmHgprzUaMqZEPK,0.666,0.408,1,-7.464,1,0.0393,0.404,0.00251,0.0316,0.474,92.01,audio_features,52rbzvOCmHgprzUaMqZEPK,spotify:track:52rbzvOCmHgprzUaMqZEPK,https://api.spotify.com/v1/tracks/52rbzvOCmHgprzUaMqZEPK,https://api.spotify.com/v1/audio-analysis/52rbzvOCmHgprzUaMqZEPK,161107,4
133,Girl With The Tattoo (Enter.Lewd),Miguel,All I Want Is You,1eUGmzzvahJjOSWgDHuRlv,0.347,0.239,6,-11.314,0,0.0297,0.856,0.000177,0.168,0.126,113.361,audio_features,1eUGmzzvahJjOSWgDHuRlv,spotify:track:1eUGmzzvahJjOSWgDHuRlv,https://api.spotify.com/v1/tracks/1eUGmzzvahJjOSWgDHuRlv,https://api.spotify.com/v1/audio-analysis/1eUGmzzvahJjOSWgDHuRlv,102813,4
134,Sky Walker (feat. Travis Scott),Miguel,War & Leisure,5WoaF1B5XIEnWfmb5NZikf,0.674,0.506,6,-10.532,1,0.0434,0.173,0.0,0.0866,0.183,145.965,audio_features,5WoaF1B5XIEnWfmb5NZikf,spotify:track:5WoaF1B5XIEnWfmb5NZikf,https://api.spotify.com/v1/tracks/5WoaF1B5XIEnWfmb5NZikf,https://api.spotify.com/v1/audio-analysis/5WoaF1B5XIEnWfmb5NZikf,259333,4
135,Sanctuary,Joji,Sanctuary,3xaugmCyXrVkrDTXbFkMW3,0.552,0.65,1,-7.199,1,0.128,0.422,0.000275,0.372,0.316,167.788,audio_features,3xaugmCyXrVkrDTXbFkMW3,spotify:track:3xaugmCyXrVkrDTXbFkMW3,https://api.spotify.com/v1/tracks/3xaugmCyXrVkrDTXbFkMW3,https://api.spotify.com/v1/audio-analysis/3xaugmCyXrVkrDTXbFkMW3,180019,4
136,Beep,Ant Clemons,Beep,05AAtaIcRYVqItKjvOAPz5,0.749,0.373,10,-10.908,1,0.609,0.0599,0.0,0.0577,0.615,119.92,audio_features,05AAtaIcRYVqItKjvOAPz5,spotify:track:05AAtaIcRYVqItKjvOAPz5,https://api.spotify.com/v1/tracks/05AAtaIcRYVqItKjvOAPz5,https://api.spotify.com/v1/audio-analysis/05AAtaIcRYVqItKjvOAPz5,152280,4
137,To Die For - Acoustic,Sam Smith,To Die For (Acoustic),4DyYFJt4ihkt5cRU5TC3Hx,0.586,0.255,0,-9.915,1,0.0388,0.967,0.000111,0.124,0.313,85.057,audio_features,4DyYFJt4ihkt5cRU5TC3Hx,spotify:track:4DyYFJt4ihkt5cRU5TC3Hx,https://api.spotify.com/v1/tracks/4DyYFJt4ihkt5cRU5TC3Hx,https://api.spotify.com/v1/audio-analysis/4DyYFJt4ihkt5cRU5TC3Hx,200470,4
138,Lips Don't Lie (feat. A Boogie Wit da Hoodie),Ally Brooke,Lips Don't Lie (feat. A Boogie Wit da Hoodie),6XemQkX3lgqDC21nNdbdVw,0.644,0.59,6,-6.358,0,0.168,0.0221,0.0,0.18,0.669,87.915,audio_features,6XemQkX3lgqDC21nNdbdVw,spotify:track:6XemQkX3lgqDC21nNdbdVw,https://api.spotify.com/v1/tracks/6XemQkX3lgqDC21nNdbdVw,https://api.spotify.com/v1/audio-analysis/6XemQkX3lgqDC21nNdbdVw,166762,4
139,Sure Thing,Miguel,All I Want Is You,0JXXNGljqupsJaZsgSbMZV,0.684,0.603,11,-8.127,0,0.0989,0.0275,0.000311,0.191,0.504,81.0,audio_features,0JXXNGljqupsJaZsgSbMZV,spotify:track:0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/tracks/0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/audio-analysis/0JXXNGljqupsJaZsgSbMZV,195373,4
140,Guilty Conscience,070 Shake,Guilty Conscience,0smgkpVia3VCXgY4qhVJvp,0.539,0.638,7,-6.049,1,0.136,0.00676,0.0,0.123,0.222,179.822,audio_features,0smgkpVia3VCXgY4qhVJvp,spotify:track:0smgkpVia3VCXgY4qhVJvp,https://api.spotify.com/v1/tracks/0smgkpVia3VCXgY4qhVJvp,https://api.spotify.com/v1/audio-analysis/0smgkpVia3VCXgY4qhVJvp,213333,4
141,Right,Mac Miller,Circles (Deluxe),165cwz4wGlGz0uDBhxdKLY,0.682,0.281,5,-14.267,1,0.126,0.804,0.359,0.106,0.475,82.954,audio_features,165cwz4wGlGz0uDBhxdKLY,spotify:track:165cwz4wGlGz0uDBhxdKLY,https://api.spotify.com/v1/tracks/165cwz4wGlGz0uDBhxdKLY,https://api.spotify.com/v1/audio-analysis/165cwz4wGlGz0uDBhxdKLY,287871,4
142,Kool Aid & Frozen Pizza,Mac Miller,K.I.D.S.,2TyjVO7KBdGHBvQxAnFFsa,0.657,0.845,11,-4.57,1,0.3,0.154,0.0,0.294,0.706,89.835,audio_features,2TyjVO7KBdGHBvQxAnFFsa,spotify:track:2TyjVO7KBdGHBvQxAnFFsa,https://api.spotify.com/v1/tracks/2TyjVO7KBdGHBvQxAnFFsa,https://api.spotify.com/v1/audio-analysis/2TyjVO7KBdGHBvQxAnFFsa,157540,4
143,Circles,Mac Miller,Circles,4jXl6VtkFFKIt3ycUQc5LT,0.61,0.0316,9,-15.186,1,0.0486,0.896,0.00461,0.108,0.37,151.964,audio_features,4jXl6VtkFFKIt3ycUQc5LT,spotify:track:4jXl6VtkFFKIt3ycUQc5LT,https://api.spotify.com/v1/tracks/4jXl6VtkFFKIt3ycUQc5LT,https://api.spotify.com/v1/audio-analysis/4jXl6VtkFFKIt3ycUQc5LT,170360,4
144,Weekend (feat. Miguel),Mac Miller,GO:OD AM,6GnhWMhgJb7uyiiPEiEkDA,0.843,0.435,8,-8.442,1,0.178,0.47,0.0,0.147,0.19,120.058,audio_features,6GnhWMhgJb7uyiiPEiEkDA,spotify:track:6GnhWMhgJb7uyiiPEiEkDA,https://api.spotify.com/v1/tracks/6GnhWMhgJb7uyiiPEiEkDA,https://api.spotify.com/v1/audio-analysis/6GnhWMhgJb7uyiiPEiEkDA,208080,4
145,Blue World,Mac Miller,Circles,2hwOoMtWPtTSSn6WHV7Vp5,0.742,0.553,8,-8.98,1,0.419,0.389,0.0,0.0694,0.508,84.931,audio_features,2hwOoMtWPtTSSn6WHV7Vp5,spotify:track:2hwOoMtWPtTSSn6WHV7Vp5,https://api.spotify.com/v1/tracks/2hwOoMtWPtTSSn6WHV7Vp5,https://api.spotify.com/v1/audio-analysis/2hwOoMtWPtTSSn6WHV7Vp5,209440,4
146,Floating,Mac Miller,Circles (Deluxe),7BCzMKLKQwVSLtZcDGJTJt,0.505,0.391,3,-11.599,1,0.0416,0.669,0.052,0.113,0.36,135.12,audio_features,7BCzMKLKQwVSLtZcDGJTJt,spotify:track:7BCzMKLKQwVSLtZcDGJTJt,https://api.spotify.com/v1/tracks/7BCzMKLKQwVSLtZcDGJTJt,https://api.spotify.com/v1/audio-analysis/7BCzMKLKQwVSLtZcDGJTJt,254099,4
147,Good News,Mac Miller,Circles,1DWZUa5Mzf2BwzpHtgbHPY,0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,audio_features,1DWZUa5Mzf2BwzpHtgbHPY,spotify:track:1DWZUa5Mzf2BwzpHtgbHPY,https://api.spotify.com/v1/tracks/1DWZUa5Mzf2BwzpHtgbHPY,https://api.spotify.com/v1/audio-analysis/1DWZUa5Mzf2BwzpHtgbHPY,342040,4
148,Woods,Mac Miller,Circles,3Qa944OTMZkg8DHjET8JQv,0.779,0.362,0,-10.847,1,0.0474,0.135,0.206,0.111,0.46,85.011,audio_features,3Qa944OTMZkg8DHjET8JQv,spotify:track:3Qa944OTMZkg8DHjET8JQv,https://api.spotify.com/v1/tracks/3Qa944OTMZkg8DHjET8JQv,https://api.spotify.com/v1/audio-analysis/3Qa944OTMZkg8DHjET8JQv,286387,4
149,Henny in the Hamptons,Bren Joy,Twenties,19NKbRV1zevCIzePp88Wzh,0.631,0.634,1,-6.786,0,0.115,0.634,0.0,0.168,0.479,87.903,audio_features,19NKbRV1zevCIzePp88Wzh,spotify:track:19NKbRV1zevCIzePp88Wzh,https://api.spotify.com/v1/tracks/19NKbRV1zevCIzePp88Wzh,https://api.spotify.com/v1/audio-analysis/19NKbRV1zevCIzePp88Wzh,197375,4
150,Closer,Ne-Yo,Year of the Gentleman (Bonus Track Edition),2XbfY2O2v3xwedUJ0J2kkr,0.711,0.753,4,-6.461,0,0.0766,0.028,2.96e-05,0.152,0.588,126.051,audio_features,2XbfY2O2v3xwedUJ0J2kkr,spotify:track:2XbfY2O2v3xwedUJ0J2kkr,https://api.spotify.com/v1/tracks/2XbfY2O2v3xwedUJ0J2kkr,https://api.spotify.com/v1/audio-analysis/2XbfY2O2v3xwedUJ0J2kkr,234360,4
151,What's Love Got To Do With It,DNCE,The Time Is Now!,6IBA0Sy4fygin7LNDY9Vtt,0.766,0.738,1,-6.572,1,0.0451,0.0122,0.0,0.143,0.896,100.984,audio_features,6IBA0Sy4fygin7LNDY9Vtt,spotify:track:6IBA0Sy4fygin7LNDY9Vtt,https://api.spotify.com/v1/tracks/6IBA0Sy4fygin7LNDY9Vtt,https://api.spotify.com/v1/audio-analysis/6IBA0Sy4fygin7LNDY9Vtt,219973,4
152,Dead,Madison Beer,As She Pleases,13W2FZtELfJiVBst64qKf4,0.583,0.7,2,-4.969,0,0.211,0.4,0.0,0.183,0.553,103.072,audio_features,13W2FZtELfJiVBst64qKf4,spotify:track:13W2FZtELfJiVBst64qKf4,https://api.spotify.com/v1/tracks/13W2FZtELfJiVBst64qKf4,https://api.spotify.com/v1/audio-analysis/13W2FZtELfJiVBst64qKf4,194827,4
153,I Like It,Cardi B,Invasion of Privacy,58q2HKrzhC3ozto2nDdN4z,0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048,audio_features,58q2HKrzhC3ozto2nDdN4z,spotify:track:58q2HKrzhC3ozto2nDdN4z,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,253390,4
154,Would You Mind,PRETTYMUCH,Would You Mind,4vlL7HTI5eVGBYOb1w7Goi,0.645,0.753,5,-4.929,0,0.122,0.00613,0.0,0.0685,0.498,115.792,audio_features,4vlL7HTI5eVGBYOb1w7Goi,spotify:track:4vlL7HTI5eVGBYOb1w7Goi,https://api.spotify.com/v1/tracks/4vlL7HTI5eVGBYOb1w7Goi,https://api.spotify.com/v1/audio-analysis/4vlL7HTI5eVGBYOb1w7Goi,179689,4
155,Please Me,Cardi B,Please Me,0PG9fbaaHFHfre2gUVo7AN,0.747,0.57,1,-6.711,1,0.081,0.0642,0.0,0.0832,0.65,133.992,audio_features,0PG9fbaaHFHfre2gUVo7AN,spotify:track:0PG9fbaaHFHfre2gUVo7AN,https://api.spotify.com/v1/tracks/0PG9fbaaHFHfre2gUVo7AN,https://api.spotify.com/v1/audio-analysis/0PG9fbaaHFHfre2gUVo7AN,200890,4
156,Crazy in Love (feat. Jay-Z),Beyoncé,Dangerously in Love,5IVuqXILoxVWvWEPm82Jxr,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,audio_features,5IVuqXILoxVWvWEPm82Jxr,spotify:track:5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/tracks/5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/audio-analysis/5IVuqXILoxVWvWEPm82Jxr,236133,4
157,We Belong Together,Mariah Carey,The Emancipation of Mimi,3LmvfNUQtglbTrydsdIqFU,0.837,0.462,0,-7.89,1,0.0601,0.0339,0.0,0.09,0.762,139.986,audio_features,3LmvfNUQtglbTrydsdIqFU,spotify:track:3LmvfNUQtglbTrydsdIqFU,https://api.spotify.com/v1/tracks/3LmvfNUQtglbTrydsdIqFU,https://api.spotify.com/v1/audio-analysis/3LmvfNUQtglbTrydsdIqFU,201400,4
158,What the Hell,Avril Lavigne,Goodbye Lullaby (Expanded Edition),2z4U9d5OAA4YLNXoCgioxo,0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976,audio_features,2z4U9d5OAA4YLNXoCgioxo,spotify:track:2z4U9d5OAA4YLNXoCgioxo,https://api.spotify.com/v1/tracks/2z4U9d5OAA4YLNXoCgioxo,https://api.spotify.com/v1/audio-analysis/2z4U9d5OAA4YLNXoCgioxo,220707,4
159,Can't Help Falling In Love,Pentatonix,PTX Vol. IV - Classics,1xKScU3i8ho0OIhNoC5YW9,0.31,0.16,9,-9.947,1,0.032,0.732,0.0,0.18,0.14,84.143,audio_features,1xKScU3i8ho0OIhNoC5YW9,spotify:track:1xKScU3i8ho0OIhNoC5YW9,https://api.spotify.com/v1/tracks/1xKScU3i8ho0OIhNoC5YW9,https://api.spotify.com/v1/audio-analysis/1xKScU3i8ho0OIhNoC5YW9,178200,4
160,Gods & Monsters,Lana Del Rey,Born to Die - The Paradise Edition,1TogTbSn3xkbapb6OUxRvq,0.352,0.725,8,-6.463,0,0.0656,0.00193,2.73e-06,0.22,0.339,189.767,audio_features,1TogTbSn3xkbapb6OUxRvq,spotify:track:1TogTbSn3xkbapb6OUxRvq,https://api.spotify.com/v1/tracks/1TogTbSn3xkbapb6OUxRvq,https://api.spotify.com/v1/audio-analysis/1TogTbSn3xkbapb6OUxRvq,237640,4
161,Radioactive,Marina,Electra Heart (Deluxe),0HtM9aNFkEwd6alO0av3Qq,0.692,0.774,11,-4.308,0,0.0327,0.00584,0.0,0.0467,0.621,125.97,audio_features,0HtM9aNFkEwd6alO0av3Qq,spotify:track:0HtM9aNFkEwd6alO0av3Qq,https://api.spotify.com/v1/tracks/0HtM9aNFkEwd6alO0av3Qq,https://api.spotify.com/v1/audio-analysis/0HtM9aNFkEwd6alO0av3Qq,226963,4
162,Hermit The Frog,Marina,The Family Jewels (Deluxe),41P2Wi4vVI8hXxz5St5a4J,0.617,0.654,0,-4.473,1,0.0295,0.265,0.0,0.151,0.541,122.052,audio_features,41P2Wi4vVI8hXxz5St5a4J,spotify:track:41P2Wi4vVI8hXxz5St5a4J,https://api.spotify.com/v1/tracks/41P2Wi4vVI8hXxz5St5a4J,https://api.spotify.com/v1/audio-analysis/41P2Wi4vVI8hXxz5St5a4J,213560,4
163,Lies,Marina,Electra Heart,2k4yzd3YejgP3kqOo0FOnS,0.561,0.671,7,-5.582,1,0.0338,0.0154,0.0,0.171,0.278,124.06,audio_features,2k4yzd3YejgP3kqOo0FOnS,spotify:track:2k4yzd3YejgP3kqOo0FOnS,https://api.spotify.com/v1/tracks/2k4yzd3YejgP3kqOo0FOnS,https://api.spotify.com/v1/audio-analysis/2k4yzd3YejgP3kqOo0FOnS,226200,4
164,Bubblegum Bitch,Marina,Electra Heart (Deluxe),0ZFBKLOZLIM16RAUb5eomN,0.495,0.856,0,-5.123,0,0.0311,0.000219,0.0,0.103,0.609,158.024,audio_features,0ZFBKLOZLIM16RAUb5eomN,spotify:track:0ZFBKLOZLIM16RAUb5eomN,https://api.spotify.com/v1/tracks/0ZFBKLOZLIM16RAUb5eomN,https://api.spotify.com/v1/audio-analysis/0ZFBKLOZLIM16RAUb5eomN,154667,4
165,Oh No!,Marina,The Family Jewels (Deluxe),0VVNXqaDwfHngG2gXaOtlI,0.776,0.9,0,-3.97,1,0.0382,0.058,0.0,0.256,0.963,127.051,audio_features,0VVNXqaDwfHngG2gXaOtlI,spotify:track:0VVNXqaDwfHngG2gXaOtlI,https://api.spotify.com/v1/tracks/0VVNXqaDwfHngG2gXaOtlI,https://api.spotify.com/v1/audio-analysis/0VVNXqaDwfHngG2gXaOtlI,180467,4
166,How to Be a Heartbreaker,Marina,Electra Heart (Deluxe),2Ow4Pmi0VOOLvbmJ8V70qo,0.69,0.897,11,-4.696,0,0.0506,0.0142,0.0,0.108,0.849,140.05,audio_features,2Ow4Pmi0VOOLvbmJ8V70qo,spotify:track:2Ow4Pmi0VOOLvbmJ8V70qo,https://api.spotify.com/v1/tracks/2Ow4Pmi0VOOLvbmJ8V70qo,https://api.spotify.com/v1/audio-analysis/2Ow4Pmi0VOOLvbmJ8V70qo,221493,4
167,Chantaje (feat. Maluma),Shakira,El Dorado,0tm0lUDuExSpFy6Y5zH26b,0.496,0.458,8,-6.398,0,0.0585,0.765,0.0,0.106,0.592,202.797,audio_features,0tm0lUDuExSpFy6Y5zH26b,spotify:track:0tm0lUDuExSpFy6Y5zH26b,https://api.spotify.com/v1/tracks/0tm0lUDuExSpFy6Y5zH26b,https://api.spotify.com/v1/audio-analysis/0tm0lUDuExSpFy6Y5zH26b,163670,4
168,Despacito,Luis Fonsi,Despacito (Featuring Daddy Yankee),6rPO02ozF3bM7NnOV4h6s2,0.653,0.816,2,-4.353,1,0.167,0.228,0.0,0.0967,0.816,178.085,audio_features,6rPO02ozF3bM7NnOV4h6s2,spotify:track:6rPO02ozF3bM7NnOV4h6s2,https://api.spotify.com/v1/tracks/6rPO02ozF3bM7NnOV4h6s2,https://api.spotify.com/v1/audio-analysis/6rPO02ozF3bM7NnOV4h6s2,228827,4
169,Reggaetón Lento (Remix),CNCO,Reggaetón Lento (Remix),58gqyeFXhOttZW3yetJGPN,0.534,0.911,4,-3.086,0,0.0852,0.15,0.0,0.0986,0.624,93.767,audio_features,58gqyeFXhOttZW3yetJGPN,spotify:track:58gqyeFXhOttZW3yetJGPN,https://api.spotify.com/v1/tracks/58gqyeFXhOttZW3yetJGPN,https://api.spotify.com/v1/audio-analysis/58gqyeFXhOttZW3yetJGPN,188800,4
170,La Bicicleta,Carlos Vives,El Dorado,0Gx4VrHzS7pZOEAGrmXXBH,0.745,0.944,0,-3.959,1,0.134,0.21,1.48e-06,0.333,0.951,179.991,audio_features,0Gx4VrHzS7pZOEAGrmXXBH,spotify:track:0Gx4VrHzS7pZOEAGrmXXBH,https://api.spotify.com/v1/tracks/0Gx4VrHzS7pZOEAGrmXXBH,https://api.spotify.com/v1/audio-analysis/0Gx4VrHzS7pZOEAGrmXXBH,229510,4
171,Échame La Culpa,Luis Fonsi,Échame La Culpa,2hl6q70unbviGo3g1R7uFx,0.733,0.892,0,-3.641,1,0.0417,0.0376,0.0,0.137,0.675,95.989,audio_features,2hl6q70unbviGo3g1R7uFx,spotify:track:2hl6q70unbviGo3g1R7uFx,https://api.spotify.com/v1/tracks/2hl6q70unbviGo3g1R7uFx,https://api.spotify.com/v1/audio-analysis/2hl6q70unbviGo3g1R7uFx,173720,4
172,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),Enrique Iglesias,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,0.684,0.823,9,-3.297,0,0.0773,0.0744,0.0,0.111,0.647,91.048,audio_features,7nKBxz47S9SD79N086fuhn,spotify:track:7nKBxz47S9SD79N086fuhn,https://api.spotify.com/v1/tracks/7nKBxz47S9SD79N086fuhn,https://api.spotify.com/v1/audio-analysis/7nKBxz47S9SD79N086fuhn,208163,4
173,THE SCOTTS,The Scotts,THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,audio_features,39Yp9wwQiSRIDOvrVg7mbk,spotify:track:39Yp9wwQiSRIDOvrVg7mbk,https://api.spotify.com/v1/tracks/39Yp9wwQiSRIDOvrVg7mbk,https://api.spotify.com/v1/audio-analysis/39Yp9wwQiSRIDOvrVg7mbk,165978,4
174,Ivy,Frank Ocean,Blonde,2ZWlPOoWh0626oTaHrnl2a,0.567,0.388,9,-9.579,0,0.0384,0.782,0.000309,0.248,0.452,116.362,audio_features,2ZWlPOoWh0626oTaHrnl2a,spotify:track:2ZWlPOoWh0626oTaHrnl2a,https://api.spotify.com/v1/tracks/2ZWlPOoWh0626oTaHrnl2a,https://api.spotify.com/v1/audio-analysis/2ZWlPOoWh0626oTaHrnl2a,249191,4
175,Juke Jam (feat. Justin Bieber & Towkio),Chance the Rapper,Coloring Book,3eze1OsZ1rqeXkKStNfTmi,0.505,0.397,5,-9.349,1,0.324,0.716,0.0,0.0853,0.558,95.063,audio_features,3eze1OsZ1rqeXkKStNfTmi,spotify:track:3eze1OsZ1rqeXkKStNfTmi,https://api.spotify.com/v1/tracks/3eze1OsZ1rqeXkKStNfTmi,https://api.spotify.com/v1/audio-analysis/3eze1OsZ1rqeXkKStNfTmi,219683,1
176,waves (feat. Kacey Musgraves) - Remix,Miguel,Rogue Waves,0JhyMqi5ihsk5neC8DMbbz,0.79,0.599,10,-7.574,0,0.0301,0.477,4.26e-06,0.344,0.464,105.997,audio_features,0JhyMqi5ihsk5neC8DMbbz,spotify:track:0JhyMqi5ihsk5neC8DMbbz,https://api.spotify.com/v1/tracks/0JhyMqi5ihsk5neC8DMbbz,https://api.spotify.com/v1/audio-analysis/0JhyMqi5ihsk5neC8DMbbz,246294,4
177,Good Day,DNCE,DNCE,49X8pWDpmFpAITVUaudkcN,0.721,0.661,5,-4.972,0,0.0429,0.062,0.0,0.157,0.896,110.006,audio_features,49X8pWDpmFpAITVUaudkcN,spotify:track:49X8pWDpmFpAITVUaudkcN,https://api.spotify.com/v1/tracks/49X8pWDpmFpAITVUaudkcN,https://api.spotify.com/v1/audio-analysis/49X8pWDpmFpAITVUaudkcN,218973,4
178,DANCE,DNCE,dance,7BfSU2ya7PZtqrl48urKqG,0.778,0.789,8,-4.301,1,0.0577,0.0819,0.0,0.0609,0.941,130.054,audio_features,7BfSU2ya7PZtqrl48urKqG,spotify:track:7BfSU2ya7PZtqrl48urKqG,https://api.spotify.com/v1/tracks/7BfSU2ya7PZtqrl48urKqG,https://api.spotify.com/v1/audio-analysis/7BfSU2ya7PZtqrl48urKqG,179333,4
179,Body Moves,DNCE,DNCE,2igbKtoBMXdYgYPkCpl0V4,0.654,0.694,5,-5.148,0,0.0372,0.00169,0.0,0.0398,0.858,102.029,audio_features,2igbKtoBMXdYgYPkCpl0V4,spotify:track:2igbKtoBMXdYgYPkCpl0V4,https://api.spotify.com/v1/tracks/2igbKtoBMXdYgYPkCpl0V4,https://api.spotify.com/v1/audio-analysis/2igbKtoBMXdYgYPkCpl0V4,236453,4
180,My Oh My (feat. DaBaby),Camila Cabello,Romance,3yOlyBJuViE2YSGn3nVE1K,0.724,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,audio_features,3yOlyBJuViE2YSGn3nVE1K,spotify:track:3yOlyBJuViE2YSGn3nVE1K,https://api.spotify.com/v1/tracks/3yOlyBJuViE2YSGn3nVE1K,https://api.spotify.com/v1/audio-analysis/3yOlyBJuViE2YSGn3nVE1K,170746,4
181,Kissing Strangers,DNCE,Kissing Strangers,1NkwZ9TnIs8js6G0M6M7RU,0.772,0.744,7,-5.803,1,0.0398,0.0547,0.0,0.0852,0.86,120.065,audio_features,1NkwZ9TnIs8js6G0M6M7RU,spotify:track:1NkwZ9TnIs8js6G0M6M7RU,https://api.spotify.com/v1/tracks/1NkwZ9TnIs8js6G0M6M7RU,https://api.spotify.com/v1/audio-analysis/1NkwZ9TnIs8js6G0M6M7RU,202480,4
182,KILL THIS LOVE,BLACKPINK,KILL THIS LOVE,18PergoIrGmRyeYxnaXJN2,0.738,0.861,2,-4.141,1,0.237,0.32,0.00175,0.325,0.58,131.974,audio_features,18PergoIrGmRyeYxnaXJN2,spotify:track:18PergoIrGmRyeYxnaXJN2,https://api.spotify.com/v1/tracks/18PergoIrGmRyeYxnaXJN2,https://api.spotify.com/v1/audio-analysis/18PergoIrGmRyeYxnaXJN2,189052,4
183,35.31,Childish Gambino,3.15.20,4vS4FB3HXgOSmICeqEY0Gh,0.798,0.559,5,-10.868,1,0.0592,0.286,0.0,0.349,0.604,102.018,audio_features,4vS4FB3HXgOSmICeqEY0Gh,spotify:track:4vS4FB3HXgOSmICeqEY0Gh,https://api.spotify.com/v1/tracks/4vS4FB3HXgOSmICeqEY0Gh,https://api.spotify.com/v1/audio-analysis/4vS4FB3HXgOSmICeqEY0Gh,236507,4
184,Gimme Love,Joji,Gimme Love,2hfoyc7ve6xM4ZEiNIiU1B,0.482,0.631,5,-6.917,1,0.0986,0.696,0.0242,0.209,0.0743,126.576,audio_features,2hfoyc7ve6xM4ZEiNIiU1B,spotify:track:2hfoyc7ve6xM4ZEiNIiU1B,https://api.spotify.com/v1/tracks/2hfoyc7ve6xM4ZEiNIiU1B,https://api.spotify.com/v1/audio-analysis/2hfoyc7ve6xM4ZEiNIiU1B,214558,3
185,Algorhythm,Childish Gambino,3.15.20,07FOCFJhMmCVQDyWX1d3gR,0.715,0.649,2,-11.294,1,0.109,0.036,0.0199,0.0795,0.478,100.077,audio_features,07FOCFJhMmCVQDyWX1d3gR,spotify:track:07FOCFJhMmCVQDyWX1d3gR,https://api.spotify.com/v1/tracks/07FOCFJhMmCVQDyWX1d3gR,https://api.spotify.com/v1/audio-analysis/07FOCFJhMmCVQDyWX1d3gR,212107,4
